rank,Youtuber,subscribers,video views,video count,category,started
405,ZDFheute Nachrichten,993000,756499268,5204,News & Politics,2019
406,Aroma,988000,0,0,,2022
407,TheOftlerer,985000,218450036,1236,People & Blogs,2011
408,Cheng,983000,158150134,541,Entertainment,2009
409,WUMMS,982000,841688007,492,People & Blogs,2016
410,Mert Matan,982000,169312790,605,Entertainment,2010
411,BeardBear,980000,865599959,3354,Gaming,2015
412,communiTV,976000,339741536,1637,,2018
413,Я люблю тебя жизнь - lch liebe dich Mein Leben!,974000,125795584,2007,People & Blogs,2016
414,AJay Deluxe,973000,121293108,230,Entertainment,2017
415,The Wineholics,969000,88332330,200,People & Blogs,2015
416,Ah Nice,965000,194820453,324,Entertainment,2015
417,HATICE MAZI,959000,287758494,692,Howto & Style,2015
418,Krass Klassenfahrt,958000,272462222,347,People & Blogs,2019
419,ohBrox,956000,278330394,1776,Gaming,2016
420,Tom Shuffle,953000,305651515,800,Gaming,2011
421,CanBroke,945000,154112156,380,Entertainment,2012
422,KiKA von ARD und ZDF,942000,78355598,992,Entertainment,2014
423,Lava&Sherin TV لافا و شيرين,940000,245032,38,People & Blogs,2014
424,idiallo 224,940000,1522609250,1821,Music,2016
425,Papy & Pepy,938000,443370,8,Entertainment,2015
426,MercBenzKing,938000,302555678,595,Autos & Vehicles,2015
427,Learn German with Anja,937000,73093080,442,Education,2014
428,Thomas Krüger – Mr. Pianoman,934000,214408477,522,Music,2009
429,MiiMii,929000,121743570,152,People & Blogs,2013
430,Schnell Lecker Schön,928000,131656264,513,People & Blogs,2021
431,FIA World Rally Championship,925000,286034246,5305,Sports,2006
432,MILEYS WELT,925000,895870053,1901,Entertainment,2011
433,Tisi Schubech,924000,466321683,2818,Entertainment,2013
434,SYou,923000,246971907,1462,Gaming,2017
435,Lorenz Wiedenmann,922000,123326672,593,Howto & Style,2016
436,DAZN Fußball Deutschland,922000,11486118,157,Sports,2017
437,Rick Azas,916000,1059880412,2535,Education,2012
438,HBz,911000,771497921,851,Music,2011
439,Gấu trúc Định,910000,3183520,100,Science & Technology,2009
440,DoktorWeigl,909000,136103836,1072,Education,2016
441,Late Night Berlin,908000,445373820,834,Entertainment,2018
442,Embassy One,907000,1515119332,628,Entertainment,2008
443,Shenpai,906000,132959019,356,Howto & Style,2012
444,SkennyBeatz Official,904000,309430723,197,Entertainment,2016
445,Mr.Puzzle,904000,217053493,478,Gaming,2016
446,100SekundenPhysik,902000,90992717,96,Education,2012
447,Mavie Noelle,901000,432666799,1117,Howto & Style,2015
448,Mathe by Daniel Jung,900000,385720829,3271,Education,2011
449,Aspin,900000,78138425,31,People & Blogs,2015
450,BEATBOX BATTLE®,899000,306779831,1693,Entertainment,2007
451,Davis Schulz,899000,252218829,233,Comedy,2010
452,WDR Doku,899000,458643342,507,Entertainment,2017
453,Adventure Buddy,892000,166359699,472,Entertainment,2017
454,Leeroy Matata,888000,74023780,113,People & Blogs,2013
455,Hungriger Hugo,885000,98719283,103,Entertainment,2019
456,DJ BoBo,881000,841811602,820,Music,2007
457,JERYKO,880000,349333631,2717,Entertainment,2016
458,Rammor,879000,258411973,79,,2014
459,Arian,879000,205294179,307,Gaming,2018
460,Thieniboy,877000,1032761827,828,,2022
461,WDR,874000,429920628,1388,Entertainment,2013
462,Dagi & Eugen,874000,51535252,102,Comedy,2014
463,TipTapTube,874000,577674397,1913,Gaming,2012
464,xLL by Lisa & Lena,872000,59025829,53,People & Blogs,2016
465,AgrarBlick,871000,546828239,518,Autos & Vehicles,2009
466,Natallia & Habib: The MixMatch Family,870000,343069670,931,,2020
467,Talha,868000,172794931,176,Entertainment,2017
