rank,Youtuber,subscribers,video views,video count,category,started
958,Petrit,444000,78368816,464,Gaming,2016
959,Katja & Mohammed I كاتيا و محمد,443000,52884555,272,People & Blogs,2018
960,Aynurun yemek ve pasta tarifleri,442000,102711324,1555,Howto & Style,2015
961,Chabo,442000,100056637,671,Comedy,2021
962,1LIVE,442000,403621022,1626,Entertainment,2006
963,Nicole Don,441000,88548076,765,People & Blogs,2015
964,ZDFinfo Dokus & Reportagen,441000,119755901,274,News & Politics,2017
965,Ableton,441000,64440771,692,Music,2006
966,Beat-Club,441000,293735410,1627,,2009
967,Aktien mit Kopf,440000,160331370,2236,Education,2013
968,Phorx,440000,194270309,1229,Entertainment,2018
969,Beam,439000,210925292,6041,Gaming,2013
970,ابن زومبي ABN ZOMBIE,438000,47182282,178,Gaming,2016
971,BakeClub,437000,76875563,535,Howto & Style,2013
972,Rational Believer,437000,22828718,140,People & Blogs,2015
973,Patricia Herfort,437000,703888921,2377,Film & Animation,2013
974,Filmakademie Baden-Württemberg,437000,122144903,1041,Film & Animation,2013
975,Regina Hixt,437000,50718131,166,People & Blogs,2015
976,FloderFlo K-Pop,436000,108717422,1643,Entertainment,2017
977,Womens Division HD,433000,249873682,969,Sports,2014
978,IamTabak,433000,94712245,1270,Gaming,2013
979,Benjamin Jaworskyj,433000,73862913,724,Science & Technology,2009
980,FFF Kino,432000,295847934,785,Entertainment,2014
981,Cartoons für Kinder,432000,264874284,478,Film & Animation,2019
982,Lukas 712 Shorts,432000,320403404,580,Entertainment,2021
983,DRUCK - Die Serie,431000,152056820,460,Film & Animation,2018
984,61MinutenSex,431000,281463801,499,Education,2010
985,Saskias Family Blog,431000,121549653,716,Howto & Style,2012
986,Manni-Gaming,431000,191266694,2090,Gaming,2008
987,Exsl95,430000,61369262,420,Entertainment,2012
988,9:16 House,430000,636496364,1219,Entertainment,2021
989,MNcompsJR2,430000,54601673,66,People & Blogs,2015
990,Bibi Blocksberg TV,430000,141463102,588,Film & Animation,2010
991,SWR Doku,429000,221418041,638,People & Blogs,2019
992,SWR Handwerkskunst,429000,135223901,262,Howto & Style,2020
993,Portrait Painter Stefan Pabst,428000,56113556,221,Entertainment,2009
994,EnisaDesue,428000,35788188,179,Entertainment,2017
995,خواطر ألمانية -Khawater Almania,428000,80454274,1416,Entertainment,2015
996,Kisu,428000,65934333,647,Howto & Style,2011
997,DRIVESHOW,428000,2188949,11,Gaming,2011
998,Relax Night and Day - Beautiful Nature & Sounds,427000,136033041,578,Music,2012
999,Aljazeera Uz,427000,69172882,984,Nonprofits & Activism,2017
1000,Jounes Amiri,427000,69772731,313,People & Blogs,2015
